bpin;nombreproyecto;objetivogeneral;estadoproyecto;horizonte;sector;entidadresponsable;programapresupuestal;tipoproyecto;valortotalproyecto;valorvigenteproyecto;valorobligacionproyecto;valorpagoproyecto;subestadoproyecto;codigoentidadresponsable;totalbeneficiario;plandesarrollonacional;municipio;departamento;Longitud
2,01705E+12;Apoyo A La Gestin En La Asistencia Tecnica Agropecuaria En El Municipio De  Arboletes;Mejorar la asistencia tcnica agropecuaria a los productores del municipio de Arboletes Antioquia;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;ArboletesAntioquia;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;600.000.000.000.000;600.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);5051;100;Todos por un nuevo país (2014-2018);;;
2,01705E+12;Mejoramiento De La Rentabilidad De Los Productores Y Asociaciones Agropecuarias Del Municipio De  Barbosa;Promover estrategias que contribuyan al fortalecimiento vocacional agrcola de los campesinos para el mejoramiento de las oportunidades ingresos productividad asociatividad y competitividad de los productores y sus familias.;En Ejecución;2017-2019;Agricultura Y Desarrollo Rural;BarbosaAntioquia;1704 ORDENAMIENTO SOCIAL Y USO PRODUCTIVO DEL TERRITORIO RURAL;T;75.480.023.500.000.000;75.480.023.500.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);5079;50052;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01705E+12;Fortalecimiento De La Asistencia Tcnica Agropecuaria Directa Rural En El Municipio De   Barbosa;Aumentar la vocacin agropecuaria en el municipio de Barbosa;En Ejecución;2018-2020;Agricultura Y Desarrollo Rural;BarbosaAntioquia;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;39.771.360.000.000.000;39.771.360.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);5079;19624;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01601E+12;Adquisición Adecuación Y Mantenimiento De Sedes Administrativas A Nivel Nacional;DISPONER DE INSTALACIONES QUE CUMPLAN CON ESTÁNDARES DE COMODIDAD Y SEGURIDAD PARA LOS FUNCIONARIOS  Y USUARIOS DE LOS SERVICIOS QUE A NIVEL NACIONAL PRESTA LA AGENCIA.;En Ejecución;2016-2022;Agricultura Y Desarrollo Rural;Agencia de Desarrollo Rural - ADR - Agricultura y Desarrollo Rural;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;Pgn;275.466.736.100.000.000;275.466.736.100.000.000;151.516.228.913.000.000;59.244.294.709.000.000;Inactivo  (PGN, Territorio);171800;450;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,017E+12;Caracterización  Y Valoracion De Procesos De Cambio En Las Agrocadenas Del    Cauca;Caracterizar seis agrocadenas del Cauca en las lneas priorizadas  mediante la caracterizacion valoracion e identificacion de necesidades de cambio y transformacion con el proposito de servir de base para el fortalecimiento de la competitividad.;En Ejecución;2018-2018;Agricultura Y Desarrollo Rural;Cauca;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;T;1.700.000.000.000.000;1.700.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);19;250;Todos por un nuevo país (2014-2018);;;
2,01726E+12;Fortalecimiento  Del Sector Agropecuario Y Desarrollo Rural En El Municipio De   Sop;Reconocer al sector agropecuario como  una fuente de desarrollo econmico rural ambiental  y humano que  genera sostenibilidad y calidad de vida  para la sociedad e impulsar la competitividad rural;En Ejecución;2016-2019;Agricultura Y Desarrollo Rural;SopóCundinamarca;1708 CIENCIA, TECNOLOGÍA E INNOVACIÓN AGROPECUARIA;T;107.666.958.700.000.000;107.666.958.700.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);25758;600;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01706E+12;Apoyo  Apoyo Al Estatus Sanitario Y El Bienestar Animal En El Municipio.  Yolombo;Crear un diagnstico del estado sanitario de la poblacion animal que se encuentra en el municipio.Erradicar las practicas de maltrato animal.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;YolombóAntioquia;1707 SANIDAD AGROPECUARIA E INOCUIDAD AGROALIMENTARIA;T;550.000.000.000.000;550.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);5890;2000;Todos por un nuevo país (2014-2018);;;
2,01715E+12;Suministro Un Tractor E Implementos De Trabajo Para El Fortalecimiento Y Mejoramiento Del Sector Agropecuario Del Municipio  Iza Boyac;MEJORAR LA ECONOMA LOCAL Y REGIONAL DEBIDO AL CRECIMIENTO EN LA PRODUCTIVIDAD DEL SECTOR RURAL DEBIDO A TeCNICAS Y USO DE TECNOLOGiA  ESPECIALIZADA PARA APROVECHAR AL MaXIMO LOS SUELOS DE SEMBRADiO;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;IzaBoyacá;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;T;20.000.000.000.000.000;20.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);15362;2349;Todos por un nuevo país (2014-2018);;;
2,01715E+12;Asistencia Tcnica Agropecuaria Y Desarrollo De Programas Y Proyectos Productivos En El Municipio De   Jerico;Garantizar a los pequeños y medianos productores del municipio de Jeric las condiciones para aumentar la competitividad y la rentabilidad de la produccion agropecuaria en contexto del desarrollo municipal y regional.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;JericóBoyacá;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;24.840.000.000.000.000;24.840.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);15368;3249;Todos por un nuevo país (2014-2018);;;
2,01501E+12;Mejoramiento De La Educación Rural Con Enfoque Internacional En Caribe Occidente Y Orinoquía;IMPLEMENTAR UNA ESTRATEGIA PEDAGÓGICA CON ENFOQUE INTERNACIONAL PARA PROMOVER EL ACCESO A LA EDUCACIÓN SUPERIOR POR PARTE DE LA POBLACIÓN RURAL JÓVEN DE MANERA ARTICULADA A SUS NECESIDADES Y AL MODELO DE DESARROLLO PARA EL SECTOR.;En Ejecución;2016-2018;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;Pgn;950.000.000.000.000.000;950.000.000.000.000.000;750.000.000.000.000.000;375.000.000.000.000.000;Inactivo  (PGN, Territorio);170101;44300;;;;
2,01501E+12;Control Vigilancia De Precios De Los Insumos Agropecuarios Nacional;CONTRIBUIR A MEJORAR LA COMPETITIVIDAD DE LOS PRODUCTORES AGROPECUARIOS ALIVIANDO LOS COSTOS DE PRODUCCIÓN EN EL COMPONENTE DE INSUMOS AGROPECUARIOS;En Ejecución;2016-2020;Agricultura Y Desarrollo Rural;Agencia de Desarrollo Rural - ADR - Agricultura y Desarrollo Rural;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;Pgn;5.400.000.000.000.000.000;5.400.000.000.000.000.000;4.751.477.760.400.000.000;4.323.116.002.200.000.000;Inactivo  (PGN, Territorio);171800;2000000;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01717E+12;Apoyo Para La Administración Y Manejo De La Planta De Beneficio Animal Del Municipio De  Aguadas;Mejorar las actividades para la administracin y manejo de la planta de beneficio animal del municipio;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;AguadasCaldas;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;T;7.080.000.000.000.000;7.080.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);17013;20545;Todos por un nuevo país (2014-2018);;;
2,01718E+12;Asistencia Tcnica Agropecuaria Integral A Los Productores Del Municipio De   La Montañita;Incrementar el nivel de calidad en el desarrollo de las actividades del campo y sus cadenas productivas;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;La MontañitaCaquetá;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;5.820.000.000.000.000;5.820.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);18410;4910;Todos por un nuevo país (2014-2018);;;
2,01718E+12;Construcción De Un Vivero Transitorios Para La Produccion De Material Vegetal Maderables Y Especies Protectoras Del Municipio De   La Montañita;Aumentar las estrategias para el desarrollo de cadenas productivas y de produccin sostenible;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;La MontañitaCaquetá;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;T;1.999.800.000.000.000;1.999.800.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);18410;23620;Todos por un nuevo país (2014-2018);;;
2,0172E+12;Desarrollo De La Feria Agro-Empresarial En El Marco De La Celebración Del Dia Del Productor Agropecuario Como Espacio De Interaccion Entre Los Sectores Empresariales Agropecuarios Y De Comercializacion En  Sotara;Incrementar la visibilidad promocin y comercializacion de los agroproductos del municipio de Sotara;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Sotará PaispambaCauca;1706 APROVECHAMIENTO DE MERCADOS EXTERNOS;T;3.475.000.000.000.000;3.475.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);19760;1500;Todos por un nuevo país (2014-2018);;;
2,017E+12;Apoyo A La Promocin  Y Realizacion  De  Eventos Feriales: Ganaderas Equinas Ovina Caprina Artesanal Y Agroindustrial En Los Municipios De Chiriguana Y Manaure  En El Departamento Del  Cesar;INCREMENTAR LOS ESPACIOS DE DIFUSION EXPOSICION PROMOCION DE LOS EVENTOS FERIALES GANADERAS EQUINASOVINA CAPRINA AGROINDUSTRIAL Y ARTESANALES EN EL DEPARTAMENTO DEL CESAR;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Cesar;1706 APROVECHAMIENTO DE MERCADOS EXTERNOS;T;4.000.000.000.000.000;4.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);20;49007;Todos por un nuevo país (2014-2018);;;
2,017E+12;Mejoramiento De Las Condiciones Tecnicas Y Administrativas Para Adelantar Procesos Juridicos De Supervision Y Formulacion De  Cauca;Mejorar las condiciones para realizar seguimiento y acompañamiento a los diferentes procesos que se adelantan por medio de la Secretaria de Agricultura y Desarrollo Rural;En Ejecución;2017-2018;Agricultura Y Desarrollo Rural;Cauca;1701 MEJORAMIENTO DE LA HABITABILIDAD RURAL;T;47.414.000.000.000.000;47.414.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);19;120000;Todos por un nuevo país (2014-2018);;;
2,01774E+12;Apoyo Y Fortalecimiento Al Proceso De Comercialización Y Agroindustria En El Municipio De  Suarez;Incrementar la comercializacin de productos agropecuarios y agroindustriales en el municipio de Suarez Tolima;En Ejecución;2017-2019;Agricultura Y Desarrollo Rural;SuárezTolima;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;1.250.000.000.000.000;1.250.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);73770;400;Todos por un nuevo país (2014-2018);;;
2,017E+12;Fortalecimiento De La Soberania Y Seguridad Alimentaria De La Población Vulnerable Del Departamento Del  Cauca;Garantizar de manera progresiva y creciente la seguridad alimentaria y nutricional de la poblacin caucana mas vulnerable a partir del reconocimiento de la diversidad etnica cultural y ambiental del Departamento.;En Ejecución;2017-2018;Agricultura Y Desarrollo Rural;Cauca;1704 ORDENAMIENTO SOCIAL Y USO PRODUCTIVO DEL TERRITORIO RURAL;T;124.677.225.000.000.000;124.677.225.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);19;93000;Todos por un nuevo país (2014-2018);;;
2,01755E+12;Remodelación De La Plaza De Mercado Municipio De  Salazar Norte De Santander;Fortalecer los canales de comercializacin de los productos de origen agropecuarios en el municipio.;En Ejecución;2018-2018;Agricultura Y Desarrollo Rural;SalazarNorte de Santander;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;T;502.888.754.100.000.000;502.888.754.100.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);54660;8942;Todos por un nuevo país (2014-2018);;;
2,01763E+12;Mejoramiento De La Capacidad Comercial De Las Empresas Del Sector Agroindustrial Del Municipio De Armenia Buscando El Aumento De Los Ingresos A Lo Largo De La Cadena Procesamiento-Distribuccion  Armenia;FOMENTAR LA DIVERSIFICACIN DE PRODUCTOS AGRICOLAS TRANSFORMADOS EN EL SECTOR RURAL DE ARMENIA;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;ArmeniaQuindio;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;2.000.000.000.000.000;2.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);63001;8146;Todos por un nuevo país (2014-2018);;;
2,01766E+12;Fortalecimiento Del Sector Agropecuario En El Municipio De  Pereira;Incremento en la Productividad y Competitividad del Sector Agropecuario en el Municipio de Pereira;En Ejecución;2017-2020;Agricultura Y Desarrollo Rural;PereiraRisaralda;1708 CIENCIA, TECNOLOGÍA E INNOVACIÓN AGROPECUARIA;T;2.556.195.963.900.000.000;2.556.195.963.900.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);66001;5577;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01701E+12;Apoyo Establecimiento De Nuevas Areas De La Linea Productiva Cacao  Arauquita Arauca Fortul Saravena Tame;Apoyar el establecimiento de nuevas siembras del sistema agroforestal Cacao Platano Maderables en el Depratamento Arauca.;En Ejecución;2018-2019;Agricultura Y Desarrollo Rural;Arauca;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;40.000.000.000.000.000;40.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);81;60;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Fortalecimiento De La Productividad De La Cadena Carne Leche A Través Del Mejoramiento De Los Procesos De Recolección Condiciones De Manejo Y Buenas Practicas Ganaderas En La Producción De La Leche A Los Productores Del Departamento De  Arauca;Contribuir a mejorar los proceso de recolección condiciones de manejo y buenas practicas ganaderas para la producción de leche;En Ejecución;2018-2019;Agricultura Y Desarrollo Rural;Arauca;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;T;200.000.000.000.000.000;200.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);81;410;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Fortalecimiento Para Integrar Las Cadenas Productivas Agropecuarias En El Departamento Del   Meta;Empoderar los procesos productivos de las cadenas establecidas en el Departamento del Meta.;En Ejecución;2018-2018;Agricultura Y Desarrollo Rural;Meta;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;709.000.000.000.000.000;709.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);50;2000;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Fortalecimiento De Los Sistemas De Producción Apicola En Los Municipios De   Tame Fortul Arauquita Saravena;Fortalecer  los sistemas de produccin apicola en los municipios de Tame Fortul Arauquita y Saravena Departamento de Arauca;En Ejecución;2018-2018;Agricultura Y Desarrollo Rural;Arauca;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;15.246.851.100.000.000;15.246.851.100.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);81;20;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Fortalecimiento Del Sector Agrcola Con El Establecimiento De Nuevas Hectareas Productivas En El Area Rural Del  Guaviare;Fortalecer las capacidades productivas de 24 asociaciones mediante el establecimiento de 30 Hectreas nuevas de piña 55 Hectareas nuevas de Platano ademas del apoyo al mantenimiento de 90 Hectareas de Chontaduro;En Ejecución;2017-2020;Agricultura Y Desarrollo Rural;Guaviare;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;147.866.278.431.000.000;147.866.278.431.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);95;2025;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01701E+12;Implementación De Unidades Productivas Para La Disponibilidad Y Acceso A 4 Organizaciones De Victimas Del  Calamar El Retorno Miraflores San Jose Del Guaviare;Mejorar  la  inseguridad alimentaria de 4 organizaciones vctimas del conflicto armado mediante  la produccion de alimentos destinados al autoconsumo generacion de ingresos.;En Ejecución;2016-2017;Agricultura Y Desarrollo Rural;Guaviare;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;6.800.000.000.000.000;6.800.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);95;160;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Fortalecimiento  A Pequeños Productores Agropecuarios Con Equipos De Transformacion  Y Comercializacion  San Jos Del Guaviare El Retorno Calamar Miraflores;Mejorar las condiciones de post cosecha y transformacion de sistemas productivos de arroz  caña y ganaderia en los municipios de San Jose del Guaviare Calamar y El Retorno;En Ejecución;2016-2020;Agricultura Y Desarrollo Rural;Guaviare;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;200.941.000.000.000.000;200.941.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);95;21900;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01769E+12;Fortalecimiento Al Sector De La Mora Para Disminuir La Incidencia De Moscas De La Fruta En La Parte Alta Del Municipio De  Piedecuesta;Fortalecer al sector de la mora para disminuir la incidencia de moscas de la fruta en la parte alta del municipio de Piedecuesta Santander;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;PiedecuestaSantander;1708 CIENCIA, TECNOLOGÍA E INNOVACIÓN AGROPECUARIA;T;3.004.174.023.000.000;3.004.174.023.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);68547;35;Todos por un nuevo país (2014-2018);;;
2,01769E+12;Fortalecimiento A La Secretaria De Agricultura Y Desarrollo Rural Del Municipio De San Gil En La Gestion Ambiental En El Area Urbana Y Rural Del Municipio De  San Gil;Fortalecer y apoyar a la secretaria de agricultura y desarrollo rural con personal a traves de prestacin de servicios en el municipio de san gil;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;San GilSantander;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;T;87.694.801.100.000.000;87.694.801.100.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);68679;45752;Todos por un nuevo país (2014-2018);;;
2,0172E+12;Apoyo  Logstico Al Conversatorio  La  Resistencia De Productores   Locales A Traves De La Finca  Tradicional Al Monocultivo De La Caña Y Prospectiva De Desarrollo Turistico En El Municipio De   Villa Rica Cauca;Apoyar logstica-mente el evento de reconocimiento a agricultores de Villa Rica  A traves de un conversatorio  donde puedan expresar sus  experiencias e inquietudes  y se planteen acciones futuras para su fortalecimiento.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Villa RicaCauca;1704 ORDENAMIENTO SOCIAL Y USO PRODUCTIVO DEL TERRITORIO RURAL;T;648.400.000.000.000;648.400.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);19845;267;Todos por un nuevo país (2014-2018);;;
2,01724E+12;Asistencia Tcnica AgropecuariaForestal Y Pesquera A Pequeños Y Medianos Productores Del Municipio De Pueblo Nuevo  Cordoba;Mejorar las condiciones de produccin en el sector Agropecuario forestal y pesquera a traves la Asistencia Tecnica Directa a los productores pequeños y medianos del municipio de Pueblo Nuevo.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Pueblo NuevoCórdoba;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;25.091.600.000.000.000;25.091.600.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);23570;5000;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Apoyo A Los Sistemas De Produccion Agrcolas Realizados Por Mujeres De La Comunidad De Monforth En Pro De La Seguridad Y Soberania Alimentaria Del Corregimiento  Yavarate;Aumentar la produccin agricola en la comunidad de Monforth.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Vaupés;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;900.000.000.000.000;900.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);97;31;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Fortalecimiento Al Emprendimiento Y Empresarismo Para La Vigencia 2017 De Mujeres Adolescencia Y Juventud En El Municipio De  Mit;Fortalecer e incentivar las mejores iniciativas de emprendimiento e innovacion con materiales herramientas e insumos creando una cultura de emprendimiento asociatividad y creacion de empresa en el municipio de Mit.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Vaupés;1706 APROVECHAMIENTO DE MERCADOS EXTERNOS;T;400.000.000.000.000;400.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);97;42;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Mejoramiento De La Sostenibilidad Y Competitividad Del Sector Ganadero Doble Propsito Mediante La Implementacion De Sistemas Silvopastoriles En El Municipio De Puerto Rico Departamento Del   Caqueta;Fortalecer la competitividad sostenible del sector ganadero en el municipio de Puerto Rico;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Caquetá;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;70.671.018.200.000.000;70.671.018.200.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);18;40;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Sustitucin Voluntaria De Cultivos Ilicitos A Partir Del Incremento De Areas Sembradas De Caña Panelera En Los Municipios De   Cartagena Del Chaira Milan El Doncello;Transformar las condiciones de los territorios que han sido afectados por la presencia de cultivos ilcitos;En Ejecución;2017-2018;Agricultura Y Desarrollo Rural;Caquetá;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;T;37.922.396.300.000.000;37.922.396.300.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);18;375;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Fortalecimiento Para La Producción De Carne De Cachama Y Bocachico En Policultivo En El Municipio De Valparaiso   Caqueta;Mejora el nivel de competitividad y productividad de los pequeños productores del sector acucola del Municipio de Valparaiso - Caqueta.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Caquetá;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;146.057.000.000.000.000;146.057.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);18;70;Todos por un nuevo país (2014-2018);;;
2,01705E+12;Apoyo A La Gestion En La Asistencia Tcnica Agropecuaria Del Municipio De  Arboletes;Mejorar la asistencia tcnica agropecuaria a los productores del municipio de Arboletes Antioquia;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;ArboletesAntioquia;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;900.000.000.000.000;900.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);5051;100;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Aportes A La Generacion De Ingresos A Traves De Proyectos Productivos Para La Poblacion Rural Del Departamento  Calamar El Retorno San Jos Del Guaviare;Generar capacidades y oportunidades para la generacin de ingresos y estabilizacion socioeconomica en la poblacion rural del Departamento del Guaviare;En Ejecución;2016-2020;Agricultura Y Desarrollo Rural;Guaviare;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;609.467.391.304.000.000;609.467.391.304.000.000;1.698.057.800.000.000;1.698.057.800.000.000;Inactivo  (PGN, Territorio);95;4200;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01701E+12;Aportes Al Proceso De  Implementacion De Centros   Para El Fortalecimiento De La  Produccion  Campesina  Como Apoyo Al Programa De Sustitucion De Cultivos Ilicitos En El Departamento Del Guaviare.  San Jos Del Guaviare El Retorno;Fortalecer los procesos de produccin y  transformacion permitiendo la generacion de ingresos y seguridad alimentaria de las zonas afectadas por la problematica de cultivos ilicitos  en el  Departamento del Guaviare.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Guaviare;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;23.785.314.600.000.000;23.785.314.600.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);95;3750;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Apoyo A La Feria Del Chagrero 2017 En El Municipio De Mitu -  Vaupes;Apoyar  la realizacin de la feria del chagrero en el municipio de Mitu.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Vaupés;1706 APROVECHAMIENTO DE MERCADOS EXTERNOS;T;1.000.000.000.000.000;1.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);97;500;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Fortalecimiento Para La Producción De Carne De Cachama Y Bocachico En El Municipio De  Solita;Mejora el nivel de competitividad y productividad de los pequeños productores del sector acucola del Municipio de Solita - Caqueta;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Caquetá;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;T;95.236.084.400.000.000;95.236.084.400.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);18;47;Todos por un nuevo país (2014-2018);;;
2,01754E+12;Implementación De Acciones Para El Desarrollo Rural Fortaleciendo La Capacidad Competitiva Y Productiva Del Municipio  Los Patios;Fortalecer la capacidad productiva del sector rural del municipio de Los Patios.;En Ejecución;2017-2017;Agricultura Y Desarrollo Rural;Los PatiosNorte de Santander;1704 ORDENAMIENTO SOCIAL Y USO PRODUCTIVO DEL TERRITORIO RURAL;T;10.000.000.000.000.000;10.000.000.000.000.000;10.000.000.000.000.000;10.000.000.000.000.000;Inactivo  (PGN, Territorio);54405;2268;Todos por un nuevo país (2014-2018);;;
2,01701E+12;Asistencia Técnica Y Jurídica Para La Formalización De La Pequeña Propiedad Privada Rural A Nivel  Nacional;Contribuir en la formalización de la pequeña propiedad privada rural.;En Ejecución;2018-2020;Agricultura Y Desarrollo Rural;Agencia Nacional de Tierras - ANT - Agricultura y Desarrollo Rural;1704 ORDENAMIENTO SOCIAL Y USO PRODUCTIVO DEL TERRITORIO RURAL;Pgn;9.646.435.295.700.000.000;9.646.435.295.700.000.000;8.724.951.710.838.000.000;8.709.657.065.428.000.000;Inactivo  (PGN, Territorio);171700;16800;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01701E+12;Asistencia Jurídica Y Técnica Para La Regularización De La Propiedad A Nivel  Nacional;Contribuir a la seguridad jurídica en el ejercicio de la propiedad.;En Ejecución;2018-2020;Agricultura Y Desarrollo Rural;Agencia Nacional de Tierras - ANT - Agricultura y Desarrollo Rural;1704 ORDENAMIENTO SOCIAL Y USO PRODUCTIVO DEL TERRITORIO RURAL;Pgn;4.910.438.816.200.000.000;4.910.438.816.200.000.000;4.729.328.890.273.000.000;4.710.295.867.181.000.000;Inactivo  (PGN, Territorio);171700;22200;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
